,PITCH_RESULT_KEY
126640,BallCalled
150868,StrikeCalled
40772,StrikeSwinging
97122,FoulBall
6544,BallCalled
62209,StrikeCalled
59079,BallCalled
59846,FoulBall
39801,BallCalled
267644,StrikeCalled
96919,BallCalled
88838,BallCalled
243706,BallCalled
218476,BallCalled
210445,FoulBall
22891,StrikeCalled
56553,InPlay
184662,BallCalled
8639,FoulBall
201429,StrikeSwinging
14661,StrikeCalled
21821,BallCalled
83646,BallCalled
103205,InPlay
15972,BallCalled
190508,BallCalled
98182,BallCalled
152533,StrikeCalled
223522,FoulBall
257687,InPlay
142476,BallCalled
144485,BallCalled
195014,BallCalled
214542,StrikeSwinging
231053,InPlay
175867,FoulBall
216474,StrikeSwinging
125382,FoulBall
71593,FoulBall
203237,FoulBall
263444,StrikeSwinging
83439,BallCalled
23618,BallCalled
79425,FoulBall
69198,InPlay
253486,StrikeSwinging
186268,StrikeCalled
128075,InPlay
230431,InPlay
107095,FoulBall
40775,BallCalled
172937,BallCalled
139365,StrikeSwinging
214069,StrikeSwinging
83346,InPlay
205698,StrikeSwinging
7518,FoulBall
260283,StrikeCalled
214917,BallCalled
233935,StrikeCalled
265492,InPlay
189990,StrikeCalled
90240,BallCalled
41685,StrikeSwinging
101008,BallCalled
178898,BallCalled
124858,InPlay
54558,BallCalled
227865,InPlay
192587,StrikeCalled
230765,InPlay
263593,BallCalled
134043,StrikeCalled
99389,BallCalled
57142,StrikeCalled
264545,BallCalled
203970,BallCalled
255432,InPlay
55895,InPlay
234511,BallCalled
137821,StrikeCalled
195559,BallCalled
32341,FoulBall
194731,BallCalled
121097,BallCalled
208547,InPlay
50424,StrikeCalled
57829,BallCalled
214442,BallCalled
223308,InPlay
233536,BallCalled
242841,InPlay
191686,BallCalled
13715,FoulBall
96422,BallCalled
148604,BallCalled
138347,StrikeSwinging
265613,StrikeCalled
261996,StrikeCalled
25785,BallCalled
108851,StrikeSwinging
103408,InPlay
112960,HitByPitch
213898,BallCalled
51166,InPlay
153900,InPlay
250901,FoulBall
41154,BallCalled
173815,FoulBall
51558,StrikeSwinging
49092,BallCalled
221354,BallCalled
201702,InPlay
108472,FoulBall
49896,StrikeSwinging
43754,BallCalled
237558,StrikeCalled
54923,InPlay
102977,InPlay
101651,StrikeCalled
108119,StrikeCalled
248974,BallCalled
156695,StrikeCalled
223493,InPlay
52669,FoulBall
125109,InPlay
90499,InPlay
223301,BallCalled
18174,BallCalled
60799,BallCalled
147971,FoulBall
95374,BallCalled
32999,InPlay
110335,InPlay
197101,BallCalled
254947,InPlay
248788,StrikeCalled
169670,BallCalled
176667,InPlay
231476,StrikeSwinging
55148,BallCalled
218437,InPlay
6329,BallCalled
250045,StrikeSwinging
84749,BallCalled
206407,StrikeCalled
10319,StrikeCalled
191848,BallCalled
217128,StrikeCalled
165199,FoulBall
99157,BallCalled
86490,InPlay
66229,BallCalled
187367,BallCalled
126325,FoulBall
182425,BallCalled
19428,BallCalled
181262,BallCalled
195997,StrikeCalled
78090,FoulBall
14809,BallCalled
242126,StrikeSwinging
224284,BallCalled
138870,StrikeCalled
67842,StrikeSwinging
117121,BallCalled
193221,StrikeSwinging
223223,StrikeCalled
239835,InPlay
208037,InPlay
152239,StrikeCalled
89517,BallCalled
199386,InPlay
86625,StrikeSwinging
119982,BallCalled
27716,StrikeSwinging
141272,FoulBall
173009,StrikeCalled
214644,InPlay
17061,BallCalled
55809,InPlay
117590,InPlay
221633,StrikeSwinging
25322,BallCalled
58100,FoulBall
193421,StrikeCalled
199517,StrikeCalled
235422,StrikeCalled
97534,BallCalled
169367,FoulBall
155798,FoulBall
238166,BallCalled
56642,StrikeSwinging
107400,FoulBall
252529,BallCalled
260510,InPlay
171653,BallCalled
188417,StrikeCalled
185728,BallCalled
73410,FoulBall
106348,StrikeSwinging
91923,FoulBall
138632,BallCalled
233573,FoulBall
124938,BallCalled
11996,StrikeSwinging
120630,BallCalled
135321,FoulBall
264111,BallCalled
231614,InPlay
261259,FoulBall
45429,BallCalled
125928,InPlay
252673,FoulBall
90829,FoulBall
262965,FoulBall
39070,BallCalled
236962,BallCalled
262292,BallCalled
120995,FoulBall
139430,InPlay
68092,InPlay
125227,FoulBall
120871,StrikeCalled
161124,FoulBall
212287,InPlay
174548,FoulBall
160398,BallCalled
141991,StrikeCalled
28031,StrikeCalled
94582,StrikeSwinging
217935,StrikeCalled
84458,StrikeSwinging
114907,BallCalled
198589,BallCalled
64056,FoulBall
230370,InPlay
130659,BallCalled
135507,InPlay
96889,FoulBall
105978,FoulBall
19085,StrikeCalled
236959,StrikeSwinging
7986,StrikeCalled
72212,InPlay
170881,StrikeCalled
231942,StrikeSwinging
158631,StrikeCalled
39156,BallCalled
61126,BallCalled
2915,FoulBall
16858,FoulBall
164342,InPlay
115620,FoulBall
108542,BallCalled
45436,InPlay
93431,InPlay
124627,BallCalled
205918,StrikeCalled
189412,BallCalled
150512,StrikeSwinging
58431,BallCalled
75974,FoulBall
65032,BallCalled
130393,InPlay
263784,StrikeSwinging
183343,FoulBall
80844,BallCalled
139590,FoulBall
3272,BallCalled
31455,StrikeCalled
109241,InPlay
15868,StrikeSwinging
154776,FoulBall
260469,InPlay
141911,FoulBall
129557,BallCalled
74251,BallCalled
259471,BallCalled
62432,BallCalled
237532,StrikeCalled
146285,InPlay
200949,BallCalled
113383,BallCalled
94472,FoulBall
127639,StrikeSwinging
236389,InPlay
140923,InPlay
239243,BallCalled
65527,StrikeCalled
263346,BallCalled
17550,InPlay
250182,StrikeCalled
196382,BallCalled
15631,BallCalled
224090,FoulBall
166175,BallCalled
360,BallCalled
236494,StrikeCalled
215186,BallCalled
30179,StrikeSwinging
134129,BallCalled
1209,BallCalled
211050,StrikeCalled
72803,StrikeSwinging
133138,FoulBall
262823,FoulBall
145766,InPlay
88506,FoulBall
79842,FoulBall
109998,BallCalled
125313,InPlay
120697,FoulBall
229643,FoulBall
254273,FoulBall
67192,StrikeSwinging
160695,BallCalled
9052,BallCalled
73909,BallCalled
57973,BallCalled
122062,StrikeCalled
259379,BallCalled
129959,StrikeCalled
100048,BallCalled
66246,FoulBall
143955,StrikeSwinging
75907,FoulBall
117116,FoulBall
178366,FoulBall
222209,BallCalled
208904,FoulBall
85652,BallCalled
127379,StrikeCalled
142814,FoulBall
164558,BallCalled
255464,FoulBall
52582,BallCalled
26997,StrikeCalled
68982,FoulBall
159001,StrikeCalled
205552,BallCalled
151556,BallCalled
80424,FoulBall
238839,BallCalled
37901,BallCalled
142217,InPlay
120858,StrikeCalled
28036,InPlay
223304,FoulBall
193943,InPlay
182891,BallCalled
202632,BallCalled
63946,StrikeSwinging
199597,BallCalled
93272,BallCalled
204277,StrikeCalled
156815,StrikeSwinging
113697,BallCalled
257043,StrikeCalled
205125,BallCalled
13280,BallCalled
70047,StrikeCalled
136530,InPlay
132554,StrikeSwinging
220791,FoulBall
154990,InPlay
207253,FoulBall
97729,BallCalled
264590,FoulBall
178809,InPlay
131956,StrikeCalled
113546,BallCalled
103065,BallCalled
130128,BallCalled
151946,BallCalled
91929,StrikeSwinging
155834,InPlay
247582,BallCalled
35198,StrikeCalled
225077,BallCalled
139705,StrikeSwinging
186918,StrikeCalled
251583,FoulBall
252602,StrikeSwinging
3700,FoulBall
73753,HitByPitch
97902,BallCalled
144375,BallCalled
209987,StrikeSwinging
108338,FoulBall
23828,StrikeSwinging
47086,FoulBall
229374,StrikeSwinging
263155,BallCalled
70109,InPlay
64309,StrikeSwinging
186617,StrikeCalled
61831,FoulBall
208023,BallCalled
116847,BallCalled
141620,FoulBall
171118,FoulBall
177270,FoulBall
31783,BallCalled
55210,StrikeSwinging
263360,StrikeCalled
18716,FoulBall
105309,FoulBall
183092,InPlay
264671,StrikeSwinging
258469,BallCalled
229012,BallCalled
174443,StrikeCalled
119140,StrikeCalled
243940,InPlay
222610,StrikeSwinging
251655,BallCalled
189467,InPlay
140674,BallCalled
189020,StrikeCalled
148501,BallCalled
63557,BallCalled
68924,BallCalled
110096,BallCalled
259439,BallCalled
190851,BallCalled
207153,BallCalled
19970,StrikeSwinging
76825,InPlay
40285,FoulBall
97984,BallCalled
201151,InPlay
253788,InPlay
178412,BallCalled
184844,StrikeCalled
158106,BallCalled
43688,FoulBall
60133,StrikeSwinging
135475,StrikeCalled
207228,InPlay
99864,StrikeCalled
201359,BallCalled
14669,InPlay
99834,BallCalled
53898,StrikeSwinging
126889,FoulBall
203684,BallCalled
137684,StrikeSwinging
237622,FoulBall
249059,StrikeCalled
112902,BallCalled
243913,StrikeSwinging
211570,FoulBall
7787,BallCalled
245790,StrikeSwinging
1191,BallCalled
194654,StrikeSwinging
156983,FoulBall
220582,FoulBall
42131,FoulBall
244365,FoulBall
37854,FoulBall
211765,StrikeSwinging
109984,FoulBall
257370,FoulBall
217843,BallCalled
117895,BallCalled
240878,StrikeCalled
71703,FoulBall
93732,FoulBall
214812,BallCalled
179565,BallCalled
2226,BallCalled
92910,StrikeCalled
35752,BallCalled
26436,BallCalled
13625,InPlay
8405,InPlay
37310,InPlay
80522,BallCalled
222904,BallCalled
176872,StrikeCalled
213812,InPlay
265684,BallCalled
29621,StrikeCalled
179079,InPlay
114135,StrikeCalled
10985,StrikeCalled
245124,FoulBall
41762,BallCalled
253130,FoulBall
79836,FoulBall
149655,BallCalled
233957,BallCalled
171783,StrikeCalled
108181,BallCalled
36109,StrikeSwinging
144936,BallCalled
160803,StrikeCalled
111568,StrikeCalled
47234,StrikeSwinging
40239,BallCalled
26492,StrikeSwinging
254874,FoulBall
225075,BallCalled
120801,StrikeSwinging
206862,BallCalled
18665,FoulBall
175305,InPlay
81983,BallCalled
62272,FoulBall
792,FoulBall
198389,FoulBall
184218,BallCalled
113431,BallCalled
188470,BallCalled
104776,BallCalled
46301,BallCalled
242273,BallCalled
19688,FoulBall
139945,StrikeCalled
151343,BallCalled
165423,BallCalled
92091,FoulBall
205324,BallCalled
109516,BallCalled
179275,StrikeCalled
173574,BallCalled
159934,StrikeCalled
243353,StrikeCalled
262850,BallCalled
251546,BallCalled
93543,BallCalled
143247,InPlay
189366,InPlay
251348,BallCalled
125786,FoulBall
196015,StrikeCalled
8959,BallCalled
101466,FoulBall
210852,StrikeCalled
190875,BallCalled
162660,FoulBall
36845,BallCalled
4345,StrikeSwinging
130226,FoulBall
176423,FoulBall
63295,FoulBall
186998,StrikeSwinging
256059,StrikeSwinging
138217,BallCalled
207459,BallCalled
256802,StrikeCalled
110805,BallCalled
140083,StrikeCalled
42677,FoulBall
78021,StrikeCalled
10554,InPlay
164195,BallCalled
174230,BallCalled
41242,InPlay
207577,BallCalled
172371,StrikeSwinging
192591,BallCalled
205685,BallCalled
69123,BallCalled
112746,FoulBall
223546,FoulBall
143912,StrikeSwinging
187973,FoulBall
64715,StrikeSwinging
136689,StrikeSwinging
185681,StrikeCalled
125726,BallCalled
149896,BallCalled
178234,FoulBall
260976,StrikeSwinging
119896,InPlay
215080,StrikeCalled
74845,FoulBall
154353,InPlay
112454,BallCalled
127447,BallCalled
106980,BallCalled
111108,StrikeSwinging
27431,BallCalled
22720,FoulBall
8398,FoulBall
94820,StrikeCalled
168122,BallCalled
232815,StrikeSwinging
201763,StrikeCalled
205877,FoulBall
216673,BallCalled
98364,StrikeSwinging
203947,BallCalled
65347,BallCalled
43941,StrikeCalled
39166,BallCalled
253392,InPlay
57522,BallCalled
37101,BallCalled
33831,BallCalled
236794,InPlay
129574,BallCalled
253711,InPlay
90822,StrikeCalled
5779,BallCalled
225092,InPlay
40295,BallCalled
100233,StrikeSwinging
22675,BallCalled
173024,InPlay
148225,StrikeCalled
162058,BallCalled
57383,FoulBall
200022,StrikeSwinging
109920,StrikeCalled
164019,InPlay
157950,StrikeSwinging
231203,InPlay
19459,BallCalled
201848,StrikeCalled
48172,InPlay
147108,StrikeSwinging
77895,FoulBall
88599,StrikeCalled
164758,BallCalled
219941,BallCalled
135004,BallCalled
161864,BallCalled
215580,StrikeCalled
239277,StrikeSwinging
154458,BallCalled
48874,StrikeSwinging
155840,StrikeCalled
100237,BallCalled
59583,BallCalled
60655,StrikeSwinging
49819,StrikeCalled
178549,StrikeSwinging
148922,FoulBall
117810,InPlay
141376,StrikeCalled
21300,FoulBall
19797,BallCalled
4898,FoulBall
242544,FoulBall
169280,StrikeSwinging
103079,InPlay
89741,FoulBall
82880,FoulBall
44873,BallCalled
175893,StrikeSwinging
114707,BallCalled
108488,BallCalled
15356,InPlay
94832,BallCalled
212619,BallCalled
241984,BallCalled
125397,BallCalled
234690,BallCalled
89362,FoulBall
222050,InPlay
45138,BallCalled
19830,StrikeCalled
78682,BallCalled
199483,BallCalled
260505,StrikeCalled
41668,BallCalled
50297,BallCalled
181712,InPlay
199088,FoulBall
86784,StrikeCalled
256787,FoulBall
247,BallCalled
213861,InPlay
57682,InPlay
172943,InPlay
123118,BallCalled
75253,BallCalled
7174,InPlay
227920,BallCalled
80207,BallCalled
228538,StrikeCalled
179644,InPlay
34525,InPlay
130234,InPlay
17986,StrikeCalled
69987,StrikeSwinging
2441,BallCalled
140525,InPlay
47687,InPlay
225484,BallCalled
71551,BallCalled
240957,StrikeCalled
162101,BallCalled
207949,BallCalled
61685,FoulBall
78006,BallCalled
92301,BallCalled
38591,StrikeCalled
124255,BallCalled
118444,StrikeCalled
131882,BallCalled
108829,FoulBall
153295,BallCalled
54167,BallCalled
93942,BallCalled
259374,BallCalled
187799,BallCalled
198830,BallCalled
204403,StrikeCalled
9204,StrikeCalled
211330,BallCalled
79679,BallCalled
134307,StrikeSwinging
240931,BallCalled
143619,StrikeCalled
179370,BallCalled
201985,FoulBall
232821,BallCalled
41279,StrikeCalled
1951,StrikeCalled
76644,InPlay
124105,BallCalled
60520,InPlay
152360,BallCalled
29324,InPlay
219202,StrikeCalled
207599,BallCalled
39733,BallCalled
22735,FoulBall
205977,FoulBall
77149,FoulBall
198899,BallCalled
1999,StrikeCalled
101401,BallCalled
56479,StrikeSwinging
127906,BallCalled
194039,FoulBall
107292,BallCalled
256088,FoulBall
29317,StrikeCalled
218588,BallCalled
265377,StrikeSwinging
252856,StrikeSwinging
17799,StrikeSwinging
242292,StrikeSwinging
190085,StrikeCalled
246226,BallCalled
24684,BallCalled
213064,StrikeSwinging
257318,StrikeCalled
52543,FoulBall
159594,BallCalled
28420,StrikeSwinging
214850,BallCalled
167430,BallCalled
62945,BallCalled
209023,FoulBall
86212,BallCalled
119749,InPlay
167385,BallCalled
191170,BallCalled
86844,StrikeSwinging
77701,StrikeCalled
255567,StrikeCalled
115142,BallCalled
21220,FoulBall
181102,StrikeCalled
186144,FoulBall
88239,BallCalled
50766,InPlay
66818,StrikeSwinging
250219,InPlay
231903,BallCalled
25214,StrikeCalled
3942,BallCalled
113848,InPlay
173353,BallCalled
48225,HitByPitch
186672,BallCalled
255187,FoulBall
25842,BallCalled
228785,FoulBall
28154,FoulBall
128640,BallCalled
129366,BallCalled
5299,StrikeCalled
84939,StrikeCalled
170136,BallCalled
168197,BallCalled
1301,FoulBall
58757,BallCalled
201471,StrikeCalled
22587,BallCalled
165579,FoulBall
13560,StrikeSwinging
120300,BallCalled
38926,InPlay
23088,FoulBall
139764,BallCalled
13225,BallCalled
36055,InPlay
113618,FoulBall
158920,InPlay
179272,BallCalled
61865,FoulBall
91575,BallCalled
140628,FoulBall
257169,InPlay
136952,StrikeCalled
30027,BallCalled
213885,InPlay
101640,FoulBall
102767,InPlay
74212,BallCalled
80809,InPlay
225438,InPlay
74129,BallCalled
172656,StrikeCalled
263121,InPlay
117483,FoulBall
16610,BallCalled
130839,BallCalled
4294,StrikeCalled
141121,FoulBall
236060,StrikeSwinging
110264,BallCalled
169932,BallCalled
99372,InPlay
229359,BallCalled
173164,BallCalled
240710,StrikeCalled
116861,StrikeCalled
249726,FoulBall
59092,BallCalled
99377,InPlay
248038,BallCalled
244123,FoulBall
66503,StrikeCalled
188568,BallCalled
178951,StrikeSwinging
134247,BallCalled
129532,StrikeCalled
229379,InPlay
33647,FoulBall
17435,InPlay
144346,StrikeCalled
193800,InPlay
112849,InPlay
